episode,date,quarter,Environment & Water Conservation,Healthcare & Pandemic Response,Environment & Water Conservation.1,Healthcare & Pandemic Response.1,Innovation & Technology,Innovation & Technology.1,Education & Learning,Innovation & Technology.2,primary_topic,secondary_topic_1,secondary_topic_2,confidence,key_theme_1,key_theme_2,key_theme_3,labelled_by
18,2020-11-29,2020Q4,0.1003069242355559,0.0628224057296046,0.0286388222678934,9.408906833226871e-06,0.3518735662981663,0.0616386361540921,0.0002787365966781,0.0034145201968474,,,,,,,,
19,2020-12-27,2020Q4,0.2758497672868932,0.0766233118610975,0.0620360478751113,2.9862039622439675e-08,0.0052776661359657,0.0459410480855505,0.0010611155562834,2.734577704762131e-07,,,,,,,,
20,2021-01-31,2021Q1,0.1202067571833388,0.0735258214789439,0.1646325140755837,0.0024659696560987,0.1341299171778446,0.0039567966976444,0.0008900187184431,0.1236316797580191,,,,,,,,
21,2021-02-28,2021Q1,0.1844807996146224,0.0200655498178944,0.0847479981126484,1.8535450838599188e-05,0.0340372073593494,0.0995126750751502,0.1841294642781645,0.000120516824598,,,,,,,,
76,2021-04-25,2021Q2,2.935108353829711e-05,0.534309755052945,0.0007103142189275,0.135582611605482,3.764928298704933e-11,1.645616364234286e-07,2.778628224968933e-06,0.0001009598168409,,,,,,,,
77,2021-05-30,2021Q2,0.021856077574088,0.4594296162354181,0.0137858420432663,3.796459839498449e-05,0.0578793793124135,0.0075262146028123,0.0984644522338097,0.0170275961381107,,,,,,,,
78,2021-06-27,2021Q2,0.0597374180209566,0.2828170603649685,0.1889902929231744,0.0040343028598134,2.296464547144076e-11,2.0143432511684202e-07,0.0652050029919412,0.1356337607070781,,,,,,,,
79,2021-07-25,2021Q3,0.0365912708468593,0.0811706183997755,0.3518586911406631,0.0064300288871435,0.1235036419447029,0.0022087133882699,0.013276651438683,0.1003694551712118,,,,,,,,
80,2021-08-29,2021Q3,0.1818087548510412,2.4564955647932584e-05,0.0091038905637837,0.0002547759618897,0.0863945490142278,1.074038748839107e-06,0.0017362353016208,0.3108759075289159,,,,,,,,
81,2021-09-26,2021Q3,0.0581771763487498,0.0619611365220684,0.3824644547572448,7.1740909305067e-08,0.0585748966562744,0.0021787746101625,4.316064677643483e-06,0.1196016818985318,,,,,,,,
82,2021-10-24,2021Q4,0.1035002820711594,0.107765195303481,0.0840157427459735,0.0689550410054177,0.079551166205137,0.0376401598147178,0.0021704594733833,0.1365365806392005,,,,,,,,
83,2021-11-28,2021Q4,0.0581928680096558,0.1378585867651761,0.1248824730562356,0.1149106518994113,0.0680836867634067,0.0303760051755589,0.0126705682870835,0.1055024265835866,,,,,,,,
84,2021-12-26,2021Q4,0.3111311747897789,0.0032474745453712,0.0629683525674387,0.0207909678527529,0.0054012146559138,0.0003220970784617,2.2794612549477232e-09,2.124693926845369e-05,,,,,,,,
85,2022-01-30,2022Q1,0.0748083032615886,0.001021789918145,0.2044886862336925,0.0758430386922535,0.1137398137362043,0.0931664539768378,0.0056214898578992,0.0557695345694985,,,,,,,,
86,2022-02-27,2022Q1,0.2750831898275866,0.0279134111939364,0.0679449860093158,0.0426964041038476,0.0026837369003692,0.0046979737091119,5.358753177911001e-07,0.003699045043575,,,,,,,,
87,2022-03-27,2022Q1,0.0592648694591522,5.421287056454515e-10,0.4173162383575627,0.0479309186831494,0.0196478522300675,0.0929165133299377,0.0175006608307255,2.836446457845668e-12,,,,,,,,
88,2022-04-24,2022Q2,0.1419652912230503,0.0049183182430862,0.3511493876120971,0.0012169102572487,0.0030168581358087,0.0066177031742194,0.0029707618521508,1.458409380368066e-07,,,,,,,,
89,2022-05-29,2022Q2,0.1382978944214171,7.038178609795913e-06,0.1692647701639489,0.0846979903925075,0.0061311268876309,0.1161265067363936,0.000131295163787,0.1046669064289489,,,,,,,,
90,2022-06-26,2022Q2,0.0281337370644608,0.0001518935920315,0.0011991947692467,0.0300860521550046,2.384544264019554e-07,0.0008527006670723,0.1355269210435485,0.5326782917315834,,,,,,,,
91,2022-07-31,2022Q3,0.0016565683277254,1.3875199121581067e-11,0.3471445609584385,0.1977392074933705,0.0026084121436243,0.0180916063665622,0.1381735789801969,4.748911625864415e-05,,,,,,,,
92,2022-08-28,2022Q3,0.0734853325015389,0.0063820125881509,0.4197151943772579,0.0705393979065612,0.0259026133542895,0.0140787658272119,1.7879309224452742e-06,0.0199453129949635,,,,,,,,
93,2022-09-25,2022Q3,0.1761938470032022,0.0185891339579697,0.1752388650530768,0.1137990189235655,6.641205735074433e-07,0.0046007591881935,0.0397543606048435,1.0322736552046436e-05,,,,,,,,
94,2022-10-30,2022Q4,0.0067238710376408,1.4782693530626974e-05,0.0075204751691933,0.058418445419759,0.1948013716345395,0.0094252746921815,0.3382254862552318,0.1364217001148525,,,,,,,,
95,2022-11-27,2022Q4,0.0947694700765095,4.290243583618525e-07,1.6582134158043334e-08,0.3691883660955855,0.1195538066496111,2.507254050898432e-06,3.004928630482699e-09,0.0446478896031408,,,,,,,,
96,2022-12-25,2022Q4,0.1225269269142961,4.0331263878250506e-05,0.0464707207902664,0.4559337061258346,0.0016939138315068,5.8709181522356366e-08,8.700424822895497e-13,1.1576740342907783e-05,,,,,,,,
97,2023-01-29,2023Q1,0.0989107936661566,9.686779882569987e-11,0.0469403742891315,0.0858553405838217,0.0001552530225177,0.4432688852167799,0.0161618735475667,5.894240237311994e-05,,,,,,,,
98,2023-02-26,2023Q1,0.0832932163405049,0.014125448622872,0.002970691854087,0.4220045362453649,0.0402427867775966,0.0064672256322265,0.0014444684451149,0.0044010117543707,,,,,,,,
99,2023-03-26,2023Q1,0.0200208800789298,0.0805323888764471,0.0475749581462126,0.2027948066317108,0.0977261027412542,0.0270761115314258,0.1796476571899642,0.0005530064699882,,,,,,,,
100,2023-04-30,2023Q2,0.1633699683506976,0.0960237948784206,0.1445307264429602,0.009866386506701,3.1547960273372824e-05,0.0551096470400592,8.873303305424324e-05,0.1030064262431866,,,,,,,,
101,2023-05-28,2023Q2,0.1448785061927841,0.0281234888873698,0.2041541767576476,0.0249683790106644,0.0179333222483546,0.0927133694930257,0.0001605719981174,0.0003932795820001,,,,,,,,
103,2023-07-30,2023Q3,0.1108231361238578,4.821816891528351e-07,0.1799370744862244,0.0040413231637392,1.910913925348606e-09,4.613298933463031e-07,0.0076821481532134,0.2915084786356932,,,,,,,,
104,2023-08-27,2023Q3,0.1601248072034898,0.0068500215163302,0.0208631000848632,0.0332627345847284,0.0176372620268629,4.245089275964312e-12,0.2640863863590016,0.0946784806466659,,,,,,,,
105,2023-09-24,2023Q3,0.329033323037512,0.0005593778540285,1.675829652986288e-06,0.0014596003815909,0.0183768290525098,7.989075377575779e-05,4.36264958172464e-05,0.0447406584661138,,,,,,,,
106,2023-10-29,2023Q4,0.0941115196218832,3.809260065823132e-11,0.1864251606387346,0.0096112412759945,0.1235305835329563,0.0001014153318219,0.2328268439688111,0.0052758562501229,,,,,,,,
107,2023-11-26,2023Q4,0.0640268710538862,3.466525126104905e-06,0.0523540607193567,0.0117823100566591,0.157441378878792,0.3441632486609836,0.0166836527955251,0.0044974872074453,,,,,,,,
108,2023-12-31,2023Q4,0.1578364148967153,0.0148895300569516,0.0013722581137516,0.1460165926038789,0.0107547952517668,0.1208677875002084,0.1485130995338376,1.310722384929556e-06,,,,,,,,
109,2024-01-28,2024Q1,0.000678921249939,2.952823081401084e-05,2.8639906646598607e-06,0.253651025414016,3.024583732681128e-08,0.479150750239727,0.0777448333642438,0.0003548011174087,,,,,,,,
110,2024-02-25,2024Q1,0.2216841687709193,0.0024796299070187,0.0106054324722462,0.0472787011480248,2.649602302076784e-05,0.1928927456945512,0.0082156704637066,0.0041483442064881,,,,,,,,
111,2024-06-30,2024Q2,0.0265604052489517,2.5259590641580002e-11,0.0082187102154113,0.0555039543364445,1.0837510968378509e-06,0.1194010874160697,0.0367714345368006,0.4558251549054795,,,,,,,,
112,2024-07-28,2024Q3,0.1335182460398551,5.497151665728256e-07,0.1754933852285582,0.0014907495997138,1.020682121637163e-07,7.65419525798158e-08,0.2319995582839626,0.0002495156117079,,,,,,,,
113,2024-08-25,2024Q3,0.1862896036077281,0.0059112933502051,0.0035277968259526,0.0074160261367358,0.0070111233630944,6.874824300591377e-05,0.1153282544662258,0.2267259741519035,,,,,,,,
114,2024-09-29,2024Q3,0.2302178836901247,5.311304126263067e-05,0.1398203725474712,1.5605276220493913e-06,1.408619298307521e-07,0.0128340686833846,0.0002735125634929,0.0975627774125163,,,,,,,,
115,2024-10-27,2024Q4,0.1391744756272933,6.575780060139898e-06,1.011987940368971e-05,0.1816952825328203,0.1692164934156015,2.7726796517944434e-05,0.0140969708773647,3.0636722664241195e-08,,,,,,,,
116,2024-11-24,2024Q4,0.3078304114306345,1.7567705070153598e-05,1.2858455117229344e-05,0.0001394050299706,0.0016644651247891,8.482467959804373e-05,2.1451701022620925e-11,0.0851155386431118,,,,,,,,
117,2024-12-29,2024Q4,0.0949762217581359,0.0033429200443662,2.5816098118991044e-07,0.4060969306372441,0.0542189273790525,0.005712823623041,0.0110482962997048,0.0222445228738851,,,,,,,,
118,2025-01-19,2025Q1,0.0249769413765484,5.258426781460523e-06,1.124122231254618e-11,0.0682199300355413,0.1500267404111769,0.3683056747261288,0.0007351435646489,0.1448900798825363,,,,,,,,
119,2025-02-23,2025Q1,0.1096572624132742,8.689898079499488e-05,8.421319937375237e-09,0.2037305053726201,9.402037763425166e-08,0.0115420709748695,0.3105575653030782,9.743367428300342e-05,,,,,,,,
120,2025-03-30,2025Q1,0.2328578187402667,5.477804568557469e-12,0.0192373246226556,0.1512804206407129,0.0009683424292918,0.003933552511615,0.0680773605582385,0.0039112196165118,,,,,,,,
121,2025-04-27,2025Q2,0.0098936771949245,0.0629490371519865,0.0003680340300498,0.2018164408663531,0.308411175293775,1.0065401536103823e-05,8.245982737759451e-09,0.1345963254156504,,,,,,,,
122,2025-05-25,2025Q2,0.2319889032096188,3.377165727637993e-07,0.0084178617847274,0.2147290996119796,0.0045431262776044,1.577351200099591e-05,0.0352736202629869,0.002168532191683,,,,,,,,
123,2025-06-29,2025Q2,0.1284035674130759,0.0251029709223946,2.619869949988104e-07,0.0859615535371427,0.0207803611548547,0.1207635565298827,0.012993059694845,0.268323652361958,,,,,,,,
124,2025-07-27,2025Q3,0.1539331290419835,7.321914921435995e-09,0.0094314422456049,0.1237387192502578,0.1580940009260242,5.208366184248565e-09,0.0536913662291855,0.0467423933915458,,,,,,,,
125,2025-08-31,2025Q3,0.0331713939367515,0.022791848877859,5.576155817081529e-06,0.06637584010033,0.0174548329526315,3.3363791839373566e-06,0.6055392085915156,0.0012463286111013,,,,,,,,
