Quarter,Rank,Topic_Label,Top_Words
2020Q4,5,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2021Q1,1,Environment & Water Conservation,"summer, lake, babasaheb, padma, fair, padma award, shakti, ayush"
2021Q1,2,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2021Q1,3,Environment & Water Conservation,"amrit, mahotsav, amrit mahotsav, freedom, independence, tricolor, sarovar, medicinal"
2021Q1,4,General / Mixed Theme,"mother tongue, tongue, idol, star, rank, republic, song, mental"
2021Q1,5,Culture & Rural Development,"martyrdom, toy, deed, reliant, begin, self reliant, computer, arrange"
2021Q2,1,Healthcare & Pandemic Response,"doctor, corona, battle, nurse, mask, hospital, quarantine, pandemic"
2021Q2,2,Environment & Water Conservation,"amrit, mahotsav, amrit mahotsav, freedom, independence, tricolor, sarovar, medicinal"
2021Q2,3,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2021Q2,4,Education & Learning,"player, medal, gold, sport, solar, exam, football, congratulation"
2021Q2,5,Healthcare & Pandemic Response,"patient, disease, treatment, ayurveda, medicine, research, cancer, yoga"
2021Q3,1,Environment & Water Conservation,"amrit, mahotsav, amrit mahotsav, freedom, independence, tricolor, sarovar, medicinal"
2021Q3,2,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2021Q3,3,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2021Q3,4,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2021Q3,5,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2021Q4,1,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2021Q4,2,Environment & Water Conservation,"amrit, mahotsav, amrit mahotsav, freedom, independence, tricolor, sarovar, medicinal"
2021Q4,3,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2021Q4,4,Healthcare & Pandemic Response,"doctor, corona, battle, nurse, mask, hospital, quarantine, pandemic"
2021Q4,5,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2022Q1,1,General / Mixed Theme,"mother tongue, tongue, idol, star, rank, republic, song, mental"
2022Q1,2,Environment & Water Conservation,"summer, lake, babasaheb, padma, fair, padma award, shakti, ayush"
2022Q1,3,Environment & Water Conservation,"amrit, mahotsav, amrit mahotsav, freedom, independence, tricolor, sarovar, medicinal"
2022Q1,4,Healthcare & Pandemic Response,"patient, disease, treatment, ayurveda, medicine, research, cancer, yoga"
2022Q1,5,General / Mixed Theme,"democracy, election, vote, commission, democratic, constitution, republic, station"
2022Q2,1,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2022Q2,2,Yoga & Wellness,"yoga, pilgrimage, yatra, silk, international, football, product, break"
2022Q2,3,Environment & Water Conservation,"summer, lake, babasaheb, padma, fair, padma award, shakti, ayush"
2022Q2,4,Environment & Water Conservation,"amrit, mahotsav, amrit mahotsav, freedom, independence, tricolor, sarovar, medicinal"
2022Q2,5,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2022Q3,1,Environment & Water Conservation,"amrit, mahotsav, amrit mahotsav, freedom, independence, tricolor, sarovar, medicinal"
2022Q3,2,General / Mixed Theme,"nutrition, diet, tiger, millet, plastic, sign, food, animal"
2022Q3,3,Healthcare & Pandemic Response,"patient, disease, treatment, ayurveda, medicine, research, cancer, yoga"
2022Q3,4,Yoga & Wellness,"yoga, pilgrimage, yatra, silk, international, football, product, break"
2022Q3,5,Education & Learning,"player, medal, gold, sport, solar, exam, football, congratulation"
2022Q4,1,Healthcare & Pandemic Response,"patient, disease, treatment, ayurveda, medicine, research, cancer, yoga"
2022Q4,2,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2022Q4,3,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2022Q4,4,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2022Q4,5,Education & Learning,"player, medal, gold, sport, solar, exam, football, congratulation"
2023Q1,1,Healthcare & Pandemic Response,"patient, entry, sound, instrument, competition, doctor, clip, sleep"
2023Q1,2,Healthcare & Pandemic Response,"patient, disease, treatment, ayurveda, medicine, research, cancer, yoga"
2023Q1,3,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2023Q1,4,Environment & Water Conservation,"summer, lake, babasaheb, padma, fair, padma award, shakti, ayush"
2023Q1,5,General / Mixed Theme,"democracy, election, vote, commission, democratic, constitution, republic, station"
2023Q2,1,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2023Q2,2,Environment & Water Conservation,"amrit, mahotsav, amrit mahotsav, freedom, independence, tricolor, sarovar, medicinal"
2023Q2,3,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2023Q2,4,General / Mixed Theme,"mother tongue, tongue, idol, star, rank, republic, song, mental"
2023Q2,5,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2023Q3,1,Education & Learning,"player, medal, gold, sport, solar, exam, football, congratulation"
2023Q3,2,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2023Q3,3,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2023Q3,4,Yoga & Wellness,"yoga, pilgrimage, yatra, silk, international, football, product, break"
2023Q3,5,Environment & Water Conservation,"amrit, mahotsav, amrit mahotsav, freedom, independence, tricolor, sarovar, medicinal"
2023Q4,1,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2023Q4,2,Environment & Water Conservation,"summer, lake, babasaheb, padma, fair, padma award, shakti, ayush"
2023Q4,3,General / Mixed Theme,"mother tongue, tongue, idol, star, rank, republic, song, mental"
2023Q4,4,General / Mixed Theme,"nutrition, diet, tiger, millet, plastic, sign, food, animal"
2023Q4,5,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2024Q1,1,General / Mixed Theme,"democracy, election, vote, commission, democratic, constitution, republic, station"
2024Q1,2,Healthcare & Pandemic Response,"patient, disease, treatment, ayurveda, medicine, research, cancer, yoga"
2024Q1,3,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2024Q1,4,Environment & Water Conservation,"summer, lake, babasaheb, padma, fair, padma award, shakti, ayush"
2024Q1,5,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2024Q2,1,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2024Q2,2,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2024Q2,3,Healthcare & Pandemic Response,"patient, disease, treatment, ayurveda, medicine, research, cancer, yoga"
2024Q2,4,Yoga & Wellness,"yoga, pilgrimage, yatra, silk, international, football, product, break"
2024Q2,5,General / Mixed Theme,"democracy, election, vote, commission, democratic, constitution, republic, station"
2024Q3,1,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2024Q3,2,General / Mixed Theme,"nutrition, diet, tiger, millet, plastic, sign, food, animal"
2024Q3,3,Education & Learning,"player, medal, gold, sport, solar, exam, football, congratulation"
2024Q3,4,Culture & Rural Development,"martyrdom, toy, deed, reliant, begin, self reliant, computer, arrange"
2024Q3,5,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2024Q4,1,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2024Q4,2,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2024Q4,3,Healthcare & Pandemic Response,"patient, entry, sound, instrument, competition, doctor, clip, sleep"
2024Q4,4,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2024Q4,5,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2025Q1,1,General / Mixed Theme,"nutrition, diet, tiger, millet, plastic, sign, food, animal"
2025Q1,2,Healthcare & Pandemic Response,"patient, disease, treatment, ayurveda, medicine, research, cancer, yoga"
2025Q1,3,Culture & Rural Development,"product, plant, member, engage, plant tree, water conservation, collective, tribal"
2025Q1,4,Education & Learning,"player, medal, gold, sport, solar, exam, football, congratulation"
2025Q1,5,General / Mixed Theme,"democracy, election, vote, commission, democratic, constitution, republic, station"
2025Q2,1,Yoga & Wellness,"yoga, pilgrimage, yatra, silk, international, football, product, break"
2025Q2,2,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2025Q2,3,Healthcare & Pandemic Response,"patient, disease, treatment, ayurveda, medicine, research, cancer, yoga"
2025Q2,4,Culture & Rural Development,"martyrdom, toy, deed, reliant, begin, self reliant, computer, arrange"
2025Q2,5,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2025Q3,1,Education & Learning,"player, medal, gold, sport, solar, exam, football, congratulation"
2025Q3,2,Innovation & Technology,"unity, solar, anniversary, space, guru, apple, satellite, sahib"
2025Q3,3,Environment & Water Conservation,"book, library, read book, read, recognize, student, cleanliness, waste"
2025Q3,4,Healthcare & Pandemic Response,"dose, sanskrit, olympic, creation, space, vaccine, sanskrit language, radio"
2025Q3,5,Yoga & Wellness,"yoga, pilgrimage, yatra, silk, international, football, product, break"
